"Respondent","none","organic","nongmo","CRISPR","conventional","online","price"
32,-3.516370975,-0.6700690837,-0.1045196691,0.3610020614,0.14794443,-0.2531080811,-2.530173156
35,-2.046570349,-0.3674209151,-0.4632151066,0.4030402274,0.2139085141,-0.5250207562,-2.585130249
37,-2.440467305,-0.5713790058,0.03547541936,0.2841444986,0.5612308299,-0.1612329636,-2.670236869
43,-2.858505328,-0.6110498817,0.08386865868,0.3432090532,0.3611784056,-0.4628844855,-2.717292961
44,-3.261547277,-0.6694712245,-0.1404512668,0.3487746957,-0.160925466,-0.1622126576,-2.775954112
45,-2.626107383,-0.8386430034,0.3282657792,0.3813229228,0.4051233968,-0.7495183922,-2.673053833
55,-3.335096539,-0.553246842,-0.4666923621,0.2281289685,0.1418025651,-0.1873037451,-2.632132445
56,-2.720267407,-0.4047459905,-0.3984870519,0.8875258481,0.618365401,-0.534376262,-2.454251944
57,-2.574691355,-0.4268702701,-0.5455424219,0.5151018307,0.3784827607,-0.8471651625,-2.41850483
59,-2.302135755,-0.1711949722,-0.7686857638,0.6255308063,0.3547390104,-0.4651637798,-2.43504209
62,-2.852236671,-0.432756278,-0.3933445654,0.1792243485,0.1150591169,-0.3211563896,-2.591386501
66,-2.231578661,0.03188379501,-0.1395297993,0.6225930309,0.2895686305,-0.401787268,-2.651953384
69,-3.319091685,-0.3054550948,-0.4694637951,0.3895149125,0.07762552137,-0.7327865815,-2.563245719
70,-3.555558235,-0.3663148541,-0.1229361863,0.5052554507,0.2524996019,0.05728133029,-2.658660339
77,-3.173739805,-0.4874835702,-0.3659713316,0.4350942831,0.1989383697,-0.4206130488,-2.579788203
79,-3.947676424,-0.1689301144,-0.4810634326,0.5342984935,0.1345597794,0.0443303256,-2.519401392
83,-2.706550443,-0.9793372532,0.1167966764,0.3759804984,0.5122897037,-0.5372369783,-2.73454244
